(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(7)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1065)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1078)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1143)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1166)), {C=0.0008247908566042182, S=0.0006808676198813345}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1204)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1205)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1240)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1273)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1275)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1380)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1437)), {C=0.0007069635913750441, S=0.0005836008170411438}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1446)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1454)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1476)), {C=0.0005891363261458702, S=0.00048633401420095323}
(education(Bachelors Degree))(house_owner(N))(marital_status(M)) --> (buy(1504)), {C=0.0005891363261458702, S=0.00048633401420095323}
