(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(12)), {C=0.0008109360518999073, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(675)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(717)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(725)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(742)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(748)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(769)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(772)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(804)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(805)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(814)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(827)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(840)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(841)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(848)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(875)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(901)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(909)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(915)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(924)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(951)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(956)), {C=0.0008109360518999073, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(967)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(976)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(977)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(980)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(990)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(993)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(995)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1016)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1030)), {C=0.0008109360518999073, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1043)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1052)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1063)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1066)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1069)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1084)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1088)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1100)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1118)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1122)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1126)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1129)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1138)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1162)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1199)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1209)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1245)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1259)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1266)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1309)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1319)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1372)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1379)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1381)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1383)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1392)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1396)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1432)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1452)), {C=0.0008109360518999073, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1455)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1460)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1462)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1463)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1466)), {C=0.0012743280815569974, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1467)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1469)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1482)), {C=0.0006950880444856349, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1483)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1504)), {C=0.0005792400370713624, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(M)) --> (buy(1555)), {C=0.0005792400370713624, S=0.00048633401420095323}
