(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(85)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(86)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(94)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(96)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(97)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(98)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(99)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(101)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(102)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(103)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(104)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(107)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(108)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(109)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(110)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(112)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(114)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(115)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(116)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(117)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(118)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(119)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(121)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(122)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(126)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(127)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(129)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(131)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(132)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(133)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(136)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(137)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(138)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(145)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(146)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(150)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(152)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(153)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(154)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(160)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(161)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(164)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(168)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(169)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(175)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(180)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(182)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(184)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(185)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(192)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(193)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(194)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(195)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(202)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(206)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(207)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(208)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(213)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(214)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(216)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(224)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(226)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(233)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(240)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(244)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(248)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(251)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(253)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(254)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(259)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(261)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(263)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(264)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(268)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(270)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(272)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(276)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(280)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(281)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(285)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(286)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(287)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(289)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(292)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(293)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(294)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(297)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(301)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(303)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(304)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(305)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(312)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(315)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(317)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(318)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(320)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(321)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(322)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(324)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(328)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(329)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(331)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(333)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(336)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(339)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(342)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(353)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(357)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(358)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(360)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(361)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(363)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(366)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(367)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(369)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(370)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(371)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(374)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(375)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(386)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(387)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(390)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(395)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(398)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(402)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(403)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(405)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(406)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(407)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(410)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(411)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(412)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(413)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0013171759747102212, S=0.0009726680284019065}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(415)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(417)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(418)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(419)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(420)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(421)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(422)), {C=0.0014488935721812435, S=0.001069934831242097}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(423)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(424)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(429)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(430)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.0010537407797681772, S=0.0007781344227215252}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0007903055848261328, S=0.0005836008170411438}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(437)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(440)), {C=0.0006585879873551106, S=0.00048633401420095323}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.0009220231822971548, S=0.0006808676198813345}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0015806111696522655, S=0.0011672016340822876}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(444)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0011854583772391992, S=0.0008754012255617158}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0015806111696522655, S=0.0011672016340822876}
(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(451)), {C=0.0006585879873551106, S=0.00048633401420095323}
