(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(17)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(504)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(505)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(508)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(514)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(521)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(522)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(524)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(528)), {C=0.0008255933952528381, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(537)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(540)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(543)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(544)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(549)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(566)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(576)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(579)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(587)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(591)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(605)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(639)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(640)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(641)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(660)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(662)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(670)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(673)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(680)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(692)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(696)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(704)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(713)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(714)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(721)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(767)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(778)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(782)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(783)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(815)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(819)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(838)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(842)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(844)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(848)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(850)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(869)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(882)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(888)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(891)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(892)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(895)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(908)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(911)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(912)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(915)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(917)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(925)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(932)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(938)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(942)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(948)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(952)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(960)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(972)), {C=0.0008255933952528381, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(976)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(977)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1021)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1023)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1032)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1047)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1050)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1078)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1082)), {C=0.0008255933952528381, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1088)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1092)), {C=0.0009287925696594428, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1129)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1145)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1147)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1152)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1157)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1171)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1172)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1175)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1187)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1211)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1232)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1239)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1256)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1292)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1311)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1312)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1313)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1330)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1333)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1342)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1344)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1373)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1377)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1382)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1390)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1403)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1418)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1429)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1441)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1446)), {C=0.0008255933952528381, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1448)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1453)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1456)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1458)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1485)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1486)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1487)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1491)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1498)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1500)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1502)), {C=0.0007223942208462332, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1509)), {C=0.0005159958720330238, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1511)), {C=0.0006191950464396284, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K))(marital_status(M)) --> (buy(1533)), {C=0.0006191950464396284, S=0.0005836008170411438}
