(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(2)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(143)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(148)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(151)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(153)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(155)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(160)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(168)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(173)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(174)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(177)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(180)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(188)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(194)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(195)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(198)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(199)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(222)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(223)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(225)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(231)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(234)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(238)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(240)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(241)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(246)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(248)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(251)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(255)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(258)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(259)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(262)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(263)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(264)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(267)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(268)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(276)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(277)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(278)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(282)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(290)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(292)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(297)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(302)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(304)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(305)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(307)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(313)), {C=0.000919869174161897, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(315)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(318)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(320)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(325)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(331)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(337)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(340)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(343)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(347)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(348)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(350)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(352)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(354)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(357)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(358)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(359)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(364)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(368)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(371)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(373)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(374)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(378)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(383)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(385)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(387)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(396)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(398)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(401)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(404)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(406)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(407)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(408)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(411)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(413)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(414)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(415)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(416)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(417)), {C=0.000919869174161897, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(418)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(419)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(420)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(422)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(423)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(426)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(427)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(428)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(429)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(432)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(433)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(434)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(436)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(437)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(441)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(443)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(444)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(447)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(448)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(450)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(451)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(455)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(460)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(463)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(464)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(465)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(468)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(469)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(475)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(480)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(482)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(484)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(486)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(487)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(488)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(491)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(493)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(499)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(501)), {C=0.000919869174161897, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(502)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(505)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(511)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(512)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(513)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(515)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(518)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(521)), {C=0.000919869174161897, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(529)), {C=0.000919869174161897, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(539)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(541)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(542)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(546)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(549)), {C=0.0006132461161079312, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(551)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(552)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(557)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(558)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(564)), {C=0.0008176614881439084, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(565)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(567)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(568)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(569)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(570)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(571)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(575)), {C=0.0005110384300899427, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(577)), {C=0.0007154538021259197, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(marital_status(M)) --> (buy(579)), {C=0.0005110384300899427, S=0.00048633401420095323}
