(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(56)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(632)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(642)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(643)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(654)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(660)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(681)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(725)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(733)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(740)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(760)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(766)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(778)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(785)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(836)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(837)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(838)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(862)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(865)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(872)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(938)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(954)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(969)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1044)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1063)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1104)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1215)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1332)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1357)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1376)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1410)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1429)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1483)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1486)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1498)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1530)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1533)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(56)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(107)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(180)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(201)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(212)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(269)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(361)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(368)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(384)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(424)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(441)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(443)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(456)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(463)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(472)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(479)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(480)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(483)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(497)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(526)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(529)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(555)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(559)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(585)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(632)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(642)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(643)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(654)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(660)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(681)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(725)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(733)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(740)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(760)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(766)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(778)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(785)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(836)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(837)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(838)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(862)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(865)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(872)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(938)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(954)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(969)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1044)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1063)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1104)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1215)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1332)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1357)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1376)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1410)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1429)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1483)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1486)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1498)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1530)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1533)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(56)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(107)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(180)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(201)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(212)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(269)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(361)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(368)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(384)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(424)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(441)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(443)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(456)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(463)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(472)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(479)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(480)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(483)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(497)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(526)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(529)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(555)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(559)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(585)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(632)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(642)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(643)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(654)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(660)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(681)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(725)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(733)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(740)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(760)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(766)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(778)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(785)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(836)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(837)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(838)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(862)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(865)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(872)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(938)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(954)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(969)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1044)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1063)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1104)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1215)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1332)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1357)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1376)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1410)), {C=0.0007387862796833773, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1429)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1483)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1486)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1498)), {C=0.000633245382585752, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1530)), {C=0.0005277044854881267, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(1533)), {C=0.0005277044854881267, S=0.00048633401420095323}
