(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(32)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(758)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(797)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(805)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(824)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(830)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(832)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(833)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(847)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(855)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(858)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(860)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(873)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(880)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(888)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(902)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(915)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(921)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(946)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(957)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(964)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(987)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(992)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(996)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(997)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1008)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1015)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1026)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1036)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1048)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1058)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1075)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1084)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1092)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1136)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1154)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1163)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1187)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1198)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1208)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1214)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1227)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1236)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1239)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1265)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1281)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1290)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1297)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1324)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1337)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1340)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1341)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1356)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1358)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1371)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1389)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1406)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1413)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1417)), {C=0.0008317737575379497, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1419)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1437)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1439)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1446)), {C=0.0008317737575379497, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1447)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1452)), {C=0.0008317737575379497, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1458)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1460)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1491)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1498)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1550)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(32)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(34)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(61)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(66)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(70)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(85)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(109)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(128)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(160)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(177)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(194)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(238)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(241)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(242)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(265)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(275)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(317)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(321)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(334)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(348)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(353)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(358)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(376)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(389)), {C=0.0008317737575379497, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(393)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(394)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(404)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(412)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(415)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(426)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(469)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(474)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(477)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(482)), {C=0.0008317737575379497, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(483)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(511)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(513)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(537)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(547)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(549)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(564)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(570)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(572)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(583)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(584)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(592)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(593)), {C=0.0009357454772301934, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(598)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(609)), {C=0.0007278020378457059, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(614)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(617)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(623)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(626)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(681)), {C=0.0008317737575379497, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(685)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(690)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(693)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(706)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(733)), {C=0.0006238303181534621, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(748)), {C=0.0005198585984612185, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(Partial High School))(house_owner(Y)) --> (buy(758)), {C=0.0005198585984612185, S=0.00048633401420095323}
