(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(7)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(386)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(426)), {C=0.0007284079084287201, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(434)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(483)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(530)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(575)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(576)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(588)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(590)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(605)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(633)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(634)), {C=0.0008324661810613944, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(703)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(707)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(718)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(725)), {C=0.0008324661810613944, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(807)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(820)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(827)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(835)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(881)), {C=0.0007284079084287201, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(898)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(899)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(909)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(940)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(950)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(965)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(991)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1014)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1034)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1061)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1144)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1149)), {C=0.0007284079084287201, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1183)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1185)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1196)), {C=0.0007284079084287201, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1206)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1217)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1219)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1220)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1234)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1243)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1267)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1273)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1276)), {C=0.0007284079084287201, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1278)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1294)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1301)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1308)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1373)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1377)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1386)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1424)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1441)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1456)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1459)), {C=0.0007284079084287201, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1460)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1462)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1489)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1506)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1521)), {C=0.0006243496357960458, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1530)), {C=0.0005202913631633715, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(education(Partial High School))(house_owner(Y)) --> (buy(1557)), {C=0.0005202913631633715, S=0.00048633401420095323}
