(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(163)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(180)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(193)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(195)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(196)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(205)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(206)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(219)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(222)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(231)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(232)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(233)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(238)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(255)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(256)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(258)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(265)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(266)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(267)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(297)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(300)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(309)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(316)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(318)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(336)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(337)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(339)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(353)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(365)), {C=0.0009338158048324968, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(385)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(394)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(433)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(437)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(442)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(445)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(454)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(463)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(464)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(472)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(483)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(500)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(502)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(504)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(511)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(515)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(519)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(522)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(525)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(528)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(529)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(572)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(576)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(581)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0009338158048324968, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(585)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(587)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(588)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(589)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(590)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(609)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(612)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(613)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(617)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(620)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(622)), {C=0.0009338158048324968, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(626)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(627)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(641)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(676)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(687)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(692)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(695)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(705)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(711)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(732)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(738)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(743)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(745)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(761)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(764)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(768)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(769)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(782)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(797)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(800)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(802)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(805)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(813)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(823)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(829)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(836)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(841)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(844)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(846)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(854)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(855)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(858)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(872)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(873)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(890)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(899)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(901)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(902)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(906)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(909)), {C=0.0009338158048324968, S=0.0007781344227215252}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(914)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(916)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(921)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(922)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(927)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(935)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(941)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(946)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(947)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(952)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(956)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(967)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(968)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(971)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(983)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(984)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(985)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(988)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(996)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1008)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1016)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1022)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1030)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1035)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1040)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1050)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1052)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1063)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1065)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1068)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1084)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1085)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1092)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1113)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1118)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1122)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1126)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1134)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1147)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1149)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1156)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1162)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1170)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1175)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1176)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1181)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1186)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1200)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1209)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1213)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1214)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1222)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1227)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1234)), {C=0.0007003618536243725, S=0.0005836008170411438}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1246)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1258)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1266)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1273)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1281)), {C=0.0008170888292284346, S=0.0006808676198813345}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1302)), {C=0.0005836348780203105, S=0.00048633401420095323}
(gender(Male))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1308)), {C=0.0005836348780203105, S=0.00048633401420095323}
