(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(43)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1071)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1080)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1148)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1190)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1322)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1366)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1380)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1392)), {C=0.0010139049826187717, S=0.0006808676198813345}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1429)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1454)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1460)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1466)), {C=0.0008690614136732328, S=0.0005836008170411438}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1467)), {C=0.000724217844727694, S=0.00048633401420095323}
(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1537)), {C=0.000724217844727694, S=0.00048633401420095323}
