(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(75)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(75)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(133)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(260)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(410)), {C=0.0006242846738112579, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(447)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(475)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(642)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(684)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(825)), {C=0.0006242846738112579, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1207)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1275)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1467)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1500)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1537)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(75)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(133)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(260)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(410)), {C=0.0006242846738112579, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(447)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(475)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(642)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(684)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(825)), {C=0.0006242846738112579, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1207)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1275)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1467)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1500)), {C=0.0005202372281760483, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(education(High School Degree)) --> (buy(1537)), {C=0.0005202372281760483, S=0.00048633401420095323}
