(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(2)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(248)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(256)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(261)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(263)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(269)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(272)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(274)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(275)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(278)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(285)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(304)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(307)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(311)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(313)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(315)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(316)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(318)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(321)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(330)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(332)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(334)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(341)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(353)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(370)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(371)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(378)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(380)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(381)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(385)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(389)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(396)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(398)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(399)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(400)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(404)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(407)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(415)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(420)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(426)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(428)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(431)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(432)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(437)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(438)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(447)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(454)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(455)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(456)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(465)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(483)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(490)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(499)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(500)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(514)), {C=0.0008699434536755112, S=0.0007781344227215252}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(518)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(521)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(522)), {C=0.0008699434536755112, S=0.0007781344227215252}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(523)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(538)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(542)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(543)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(546)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(556)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(560)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(568)), {C=0.0009786863853849502, S=0.0008754012255617158}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(577)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(580)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(581)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(590)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(593)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(595)), {C=0.0009786863853849502, S=0.0008754012255617158}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(597)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(600)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(603)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(605)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(609)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(615)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(618)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(622)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(623)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(624)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(637)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(640)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(664)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(670)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(672)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(683)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(684)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(696)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(700)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(721)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(725)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(729)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(759)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(765)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(766)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(796)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(799)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(810)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(811)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(834)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(836)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(842)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(848)), {C=0.0009786863853849502, S=0.0008754012255617158}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(852)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(853)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(856)), {C=0.0008699434536755112, S=0.0007781344227215252}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(858)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(859)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(861)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(864)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(867)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(873)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(879)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(887)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(889)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(892)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(899)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(902)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(903)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(904)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(905)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(912)), {C=0.0009786863853849502, S=0.0008754012255617158}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(915)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(916)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(930)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(933)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(934)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(938)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(943)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(948)), {C=0.0008699434536755112, S=0.0007781344227215252}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(949)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(953)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(955)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(958)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(963)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(964)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(969)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(972)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(973)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(983)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(988)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(995)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(997)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(999)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1004)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1007)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1013)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1016)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1022)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1024)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1031)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1037)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1043)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1045)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1048)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1050)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1052)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1070)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1071)), {C=0.001087429317094389, S=0.0009726680284019065}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1077)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1079)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1084)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1104)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1105)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1120)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1121)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1122)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1124)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1127)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1149)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1150)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1152)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1158)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1164)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1169)), {C=0.0008699434536755112, S=0.0007781344227215252}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1171)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1172)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1190)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1206)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1212)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1213)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1217)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1219)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1220)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1221)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1225)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1229)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1232)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1233)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1239)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1240)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1247)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1249)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1251)), {C=0.0006524575902566333, S=0.0005836008170411438}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1253)), {C=0.0007612005219660722, S=0.0006808676198813345}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1256)), {C=0.0005437146585471945, S=0.00048633401420095323}
(country(USA))(member card(Silver))(house_owner(Y)) --> (buy(1266)), {C=0.0005437146585471945, S=0.00048633401420095323}
