(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(3)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(298)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(303)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(304)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(305)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(307)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(311)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(312)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(315)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(316)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(317)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(319)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(320)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(321)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(322)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(323)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(326)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(328)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(330)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(331)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(332)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(333)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(334)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(336)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(337)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(339)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(340)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(341)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(344)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(345)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(349)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(350)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(352)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(353)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(354)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(356)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(358)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(362)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(369)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(371)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(372)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(373)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(376)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(377)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(378)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(379)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(382)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(383)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(384)), {C=0.0012098548174219095, S=0.001069934831242097}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(386)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(387)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(388)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(390)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(393)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(394)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(395)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(397)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(399)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(400)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(402)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(404)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(405)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(406)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(407)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(409)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(410)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(411)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(412)), {C=0.0010998680158380994, S=0.0009726680284019065}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(414)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(415)), {C=0.0008798944126704796, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(416)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(417)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(418)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(419)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(420)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(421)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(425)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(426)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(428)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(429)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(432)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(434)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(436)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(438)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(439)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(440)), {C=0.0007699076110866696, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(441)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(442)), {C=0.0005499340079190497, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(443)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(446)), {C=0.0009898812142542896, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(447)), {C=0.0006599208095028596, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($50K - $70K)) --> (buy(450)), {C=0.0008798944126704796, S=0.0007781344227215252}
