(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(3)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(53)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(59)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(62)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(63)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(64)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(66)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(70)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(73)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(75)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(77)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(78)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(82)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(83)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(84)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(87)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(89)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(90)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(94)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(95)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(96)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(98)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(104)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(109)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(111)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(113)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(125)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(127)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(131)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(132)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(135)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(136)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(139)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(143)), {C=0.0010790978741771879, S=0.0009726680284019065}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(146)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(152)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(153)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(155)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(156)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(157)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(159)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(162)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(165)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(166)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(170)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(172)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(173)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(174)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(176)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(178)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(179)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(181)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(182)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(183)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(184)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(187)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(188)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(191)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(194)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(196)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(197)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(199)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(203)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(213)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(216)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(220)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(222)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(227)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(232)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(233)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(236)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(246)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(249)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(251)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0011870076615949066, S=0.001069934831242097}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(259)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(263)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(269)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(272)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(274)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(276)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(277)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(283)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(285)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(286)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(291)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(294)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(296)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(298)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(299)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(302)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(304)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(305)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(308)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(309)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(317)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(320)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(323)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(325)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(331)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(335)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(336)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(337)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(340)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(341)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(342)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(343)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(345)), {C=0.0010790978741771879, S=0.0009726680284019065}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(348)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(349)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(351)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(352)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(353)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(358)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(359)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(360)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(365)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(366)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(367)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(369)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(370)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(375)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(376)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(378)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(381)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(385)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(388)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(389)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(390)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(391)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(393)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(397)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(399)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(402)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(403)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(406)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(407)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(411)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(413)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0012949174490126253, S=0.0011672016340822876}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(415)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(420)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(425)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(430)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.0007553685119240315, S=0.0006808676198813345}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(433)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(435)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0012949174490126253, S=0.0011672016340822876}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(438)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(439)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(441)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(446)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0009711880867594692, S=0.0008754012255617158}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(448)), {C=0.0006474587245063126, S=0.0005836008170411438}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(449)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(451)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0008632782993417504, S=0.0007781344227215252}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(453)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(454)), {C=0.0005395489370885939, S=0.00048633401420095323}
(gender(Female))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(455)), {C=0.0005395489370885939, S=0.00048633401420095323}
