(gender(Male))(country(USA))(education(Partial College)) --> (buy(17)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(964)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(967)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(989)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1005)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1018)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1036)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1037)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1046)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1069)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1093)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1101)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1106)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1111)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1122)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1124)), {C=0.0008931561906888468, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1144)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1164)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1167)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1172)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1174)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1198)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1204)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1208)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1217)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1218)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1224)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1243)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1267)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1280)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1297)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1309)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1310)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1316)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1320)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1356)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1360)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1365)), {C=0.0007815116668527408, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1368)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1378)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1382)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1383)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1387)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1394)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1422)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1438)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1441)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1453)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1488)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1501)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1528)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1534)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1545)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1547)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1554)), {C=0.000669867143016635, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1555)), {C=0.0005582226191805292, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial College)) --> (buy(1558)), {C=0.0005582226191805292, S=0.00048633401420095323}
