(gender(Male))(member card(Golden)) --> (buy(8)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(147)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(152)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(153)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(155)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(156)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(158)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(163)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(164)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(175)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(178)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(181)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(182)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(186)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(188)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(189)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(191)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(192)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(194)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(196)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(201)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(204)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(205)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(206)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(211)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(215)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(217)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(218)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(223)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(224)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(231)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(236)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(244)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(250)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(252)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(255)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(261)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(262)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(264)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(265)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(269)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(279)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(292)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(301)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(302)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(307)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(309)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(315)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(320)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(327)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(328)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(329)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(333)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(334)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(335)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(336)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(343)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(345)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(347)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(348)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(351)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(354)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(357)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(358)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(361)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(367)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(371)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(373)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(374)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(376)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(377)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(385)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(386)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(389)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(393)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(397)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(404)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(408)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(415)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(419)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(420)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(424)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(425)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(427)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(435)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(436)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(437)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(438)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(440)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(441)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(442)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(443)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(445)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(447)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(448)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(449)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(451)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(454)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(456)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(458)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(460)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(463)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(473)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(478)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(481)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(482)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(485)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(486)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(489)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(494)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(495)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(498)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(514)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(515)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(518)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(519)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(521)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(522)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(525)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(526)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(530)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(531)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(535)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(538)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(541)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(543)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(546)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(547)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(550)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(552)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(553)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(556)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(558)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(559)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(560)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(569)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(571)), {C=0.0015595217466643563, S=0.0008754012255617158}
(gender(Male))(member card(Golden)) --> (buy(577)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(579)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(581)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(585)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(589)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(590)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(592)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(593)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(595)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(597)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(605)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(608)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(609)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(612)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(614)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(615)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(617)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(620)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(621)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(628)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(629)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(632)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(635)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(639)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(643)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(644)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(656)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(660)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(661)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(665)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(670)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(676)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(677)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(681)), {C=0.0017328019407381737, S=0.0009726680284019065}
(gender(Male))(member card(Golden)) --> (buy(691)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(694)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(698)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(699)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(707)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(718)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(724)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(731)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(733)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(737)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(738)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(741)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(742)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(743)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(749)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(751)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(757)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(758)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(767)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(775)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(778)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(779)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(798)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(802)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(804)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(805)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(807)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(810)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(811)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(813)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(815)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(818)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(821)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(833)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(836)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(837)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(838)), {C=0.0013862415525905392, S=0.0007781344227215252}
(gender(Male))(member card(Golden)) --> (buy(843)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(847)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(850)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(853)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(854)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(856)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(862)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(872)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(873)), {C=0.0019060821348119911, S=0.001069934831242097}
(gender(Male))(member card(Golden)) --> (buy(875)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(881)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(887)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(890)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(896)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(903)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(904)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(906)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(908)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(910)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(914)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(915)), {C=0.0010396811644429042, S=0.0005836008170411438}
(gender(Male))(member card(Golden)) --> (buy(919)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(920)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(922)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(925)), {C=0.0012129613585167215, S=0.0006808676198813345}
(gender(Male))(member card(Golden)) --> (buy(926)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(928)), {C=0.0008664009703690869, S=0.00048633401420095323}
(gender(Male))(member card(Golden)) --> (buy(929)), {C=0.0008664009703690869, S=0.00048633401420095323}
