(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(2)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(282)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(283)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(287)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(290)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(313)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(318)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(328)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(339)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(352)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(355)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(356)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.000897934750074828, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(363)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(364)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(370)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(371)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(381)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(387)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(391)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(396)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(418)), {C=0.000897934750074828, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(422)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(427)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(428)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(449)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(450)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(456)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(459)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(461)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(465)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(473)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(475)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(476)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(479)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(484)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(493)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(501)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(516)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0011972463334331037, S=0.0011672016340822876}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(533)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(539)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(540)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(547)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(577)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(580)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(583)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(584)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(589)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(599)), {C=0.000897934750074828, S=0.0008754012255617158}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(610)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(617)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(624)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(629)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(636)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(640)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(643)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(648)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(655)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(668)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(693)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(695)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(696)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(699)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(724)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(726)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(730)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(739)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(750)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(751)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(759)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(772)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(784)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(791)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(792)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(797)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(799)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(801)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(803)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(804)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(828)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(831)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(832)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(838)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(849)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(861)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(877)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(878)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(884)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(898)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(905)), {C=0.000798164222288736, S=0.0007781344227215252}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(913)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(917)), {C=0.00049885263893046, S=0.00048633401420095323}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(918)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(920)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.0006983936945026439, S=0.0006808676198813345}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(922)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(926)), {C=0.0005986231667165519, S=0.0005836008170411438}
(country(USA))(member card(Bronze))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(928)), {C=0.0006983936945026439, S=0.0006808676198813345}
