(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(32)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(681)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(702)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(731)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(758)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(837)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(838)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(840)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0007182433819002668, S=0.0006808676198813345}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(904)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(938)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(952)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(960)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(986)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1002)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1014)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1041)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1053)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1097)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1100)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1150)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1153)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1176)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1197)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1204)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1213)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1256)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1275)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1283)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1300)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1368)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1382)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1393)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1397)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1424)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1449)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1479)), {C=0.0005130309870716191, S=0.00048633401420095323}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1483)), {C=0.0006156371844859428, S=0.0005836008170411438}
(country(USA))(member card(Golden))(education(High School Degree))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005130309870716191, S=0.00048633401420095323}
