(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(19)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(426)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(440)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(456)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(513)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(579)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(593)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(611)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(631)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(632)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(638)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(639)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(662)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(671)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(690)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(756)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(765)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(821)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(835)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(873)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(883)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(887)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(933)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(952)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(955)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(965)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(987)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(994)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(996)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1030)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1032)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1033)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1039)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1087)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1171)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1194)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1228)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1273)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1277)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1311)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1340)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1343)), {C=0.0006108113610913163, S=0.0005836008170411438}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1486)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1512)), {C=0.0005090094675760969, S=0.00048633401420095323}
(gender(Male))(education(Bachelors Degree))(house_owner(Y))(marital_status(S)) --> (buy(1538)), {C=0.0009162170416369746, S=0.0008754012255617158}
