(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(4)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(357)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(361)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(366)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(368)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(371)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(375)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(384)), {C=0.0008970621215519175, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(400)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(411)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(413)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(420)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(423)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(429)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(431)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(443)), {C=0.001121327651939897, S=0.0009726680284019065}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(458)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(464)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(473)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(532)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(543)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.001009194886745907, S=0.0008754012255617158}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(567)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(569)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(572)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(595)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(596)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(608)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(638)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(641)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(642)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(646)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(650)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(658)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(663)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(673)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(681)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(691)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(720)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(722)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(734)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(757)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(766)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(770)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(774)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(776)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(786)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(813)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(852)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(859)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(865)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(876)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0008970621215519175, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(904)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(909)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(912)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(913)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(914)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(933)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(969)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(971)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(976)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(992)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(996)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1015)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1019)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1045)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1049)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1054)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1058)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1088)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1122)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1162)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1169)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1182)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1192)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1200)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1228)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1236)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1237)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1289)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1292)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1320)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1321)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1336)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1337)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1341)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1344)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1348)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1352)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1363)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1369)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1399)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1401)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1418)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1422)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0007849293563579277, S=0.0006808676198813345}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1455)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1456)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1457)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1460)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1472)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1477)), {C=0.0008970621215519175, S=0.0007781344227215252}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1485)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1492)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1497)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1511)), {C=0.000672796591163938, S=0.0005836008170411438}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1514)), {C=0.0005606638259699485, S=0.00048633401420095323}
(gender(Male))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0005606638259699485, S=0.00048633401420095323}
