(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(36)), {C=0.000893355667225014, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1141)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1147)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1150)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1161)), {C=0.0010050251256281408, S=0.0008754012255617158}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1173)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1222)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1240)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1246)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1296)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1319)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1344)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1380)), {C=0.0007816862088218872, S=0.0006808676198813345}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1396)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1415)), {C=0.000893355667225014, S=0.0007781344227215252}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1419)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1429)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1438)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0005583472920156337, S=0.00048633401420095323}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1456)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1497)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1504)), {C=0.0006700167504187604, S=0.0005836008170411438}
(gender(Female))(education(Partial High School))(house_owner(N))(marital_status(S)) --> (buy(1514)), {C=0.0005583472920156337, S=0.00048633401420095323}
