(education(Partial College))(house_owner(N)) --> (buy(44)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(607)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(645)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(651)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(708)), {C=0.0014925373134328356, S=0.0006808676198813345}
(education(Partial College))(house_owner(N)) --> (buy(710)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(712)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(716)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(725)), {C=0.0014925373134328356, S=0.0006808676198813345}
(education(Partial College))(house_owner(N)) --> (buy(746)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(793)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(829)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(852)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(901)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(905)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(921)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(925)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(931)), {C=0.0014925373134328356, S=0.0006808676198813345}
(education(Partial College))(house_owner(N)) --> (buy(935)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(950)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(981)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(982)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1018)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1023)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1036)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(1055)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1144)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(1208)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(1216)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1243)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(1298)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(1353)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1378)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1443)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1448)), {C=0.0012793176972281449, S=0.0005836008170411438}
(education(Partial College))(house_owner(N)) --> (buy(1461)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1476)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1495)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1504)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1529)), {C=0.0017057569296375268, S=0.0007781344227215252}
(education(Partial College))(house_owner(N)) --> (buy(1532)), {C=0.0010660980810234541, S=0.00048633401420095323}
(education(Partial College))(house_owner(N)) --> (buy(1536)), {C=0.0010660980810234541, S=0.00048633401420095323}
