(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(21)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(780)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(786)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(787)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(791)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(795)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(797)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(801)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(807)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(815)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(826)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(827)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(831)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(841)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(862)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(872)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(873)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(875)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(878)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(883)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(884)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(887)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(896)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(897)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(903)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(925)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(931)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(938)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(942)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(943)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(945)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(952)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(967)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(972)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(973)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(974)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(975)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(985)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(993)), {C=0.0008329862557267805, S=0.0007781344227215252}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1003)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1010)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1011)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1018)), {C=0.0009371095376926281, S=0.0008754012255617158}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1019)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1020)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1037)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1042)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1045)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1059)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1061)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1063)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1064)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1070)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1072)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1088)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1097)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1099)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1100)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1105)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1123)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1126)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1129)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1141)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1147)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1150)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1161)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1173)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1205)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1212)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1222)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1226)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1240)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1245)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1249)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1262)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1266)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1268)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1298)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1304)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1315)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1344)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1349)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1350)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1355)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1368)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1373)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1380)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1384)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1389)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1392)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1396)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1407)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1411)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1415)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1417)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1432)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1439)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1446)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1448)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1451)), {C=0.0007288629737609328, S=0.0006808676198813345}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1452)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1477)), {C=0.0006247396917950853, S=0.0005836008170411438}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1494)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1496)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1497)), {C=0.0005206164098292378, S=0.00048633401420095323}
(gender(Female))(country(USA))(member card(Normal))(house_owner(N)) --> (buy(1502)), {C=0.0005206164098292378, S=0.00048633401420095323}
