(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(13)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(589)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(595)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(621)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(632)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(633)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(642)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(712)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(719)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(725)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(746)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(822)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(825)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(826)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(838)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(876)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(877)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(903)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(967)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(969)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(982)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(998)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1005)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1019)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1024)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1061)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1101)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1104)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1107)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1160)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1198)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1207)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1224)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1243)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1254)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1275)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1381)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1391)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1518)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1527)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(13)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(67)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(108)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(133)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(260)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(299)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(347)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(368)), {C=0.0008565310492505354, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(384)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(390)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(423)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(425)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(427)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(436)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(443)), {C=0.0008565310492505354, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(456)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(458)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(463)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(472)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(483)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(488)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(549)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(564)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(576)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(587)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(589)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(595)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(621)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(632)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(633)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(642)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(712)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(719)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(725)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(746)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(822)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(825)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(826)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(838)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(876)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(877)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(903)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(967)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(969)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(982)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(998)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1005)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1019)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1024)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1061)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1101)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1104)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1107)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1160)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1198)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1207)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1224)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1243)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1254)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1275)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1381)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1391)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1518)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1527)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(13)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(67)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(108)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(133)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(260)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(299)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(347)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(368)), {C=0.0008565310492505354, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(384)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(390)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(423)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(425)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(427)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(436)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(443)), {C=0.0008565310492505354, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(456)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(458)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(463)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(472)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(483)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(488)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(549)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(564)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(576)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(587)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(589)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(595)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(621)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(632)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(633)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(642)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(712)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(719)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(725)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(746)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(822)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(825)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(826)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(838)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(876)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(877)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(903)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(967)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(969)), {C=0.0006423982869379015, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(982)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(998)), {C=0.0007494646680942183, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1005)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1019)), {C=0.0005353319057815846, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1024)), {C=0.0005353319057815846, S=0.00048633401420095323}
