(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(43)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(812)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(849)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(905)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(909)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(918)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(935)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(976)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1002)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1013)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1022)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1024)), {C=0.000748502994011976, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1036)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1044)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1046)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1067)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1071)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1080)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1148)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1190)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1322)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1366)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1380)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1392)), {C=0.000748502994011976, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1429)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1454)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1460)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1466)), {C=0.0006415739948674081, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1467)), {C=0.00053464499572284, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults))(yearly_salary($30K - $50K))(house_owner(N)) --> (buy(1537)), {C=0.00053464499572284, S=0.00048633401420095323}
