(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(76)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(464)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(542)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(550)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(606)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(638)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(673)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(689)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(691)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(712)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(757)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(770)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(774)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(814)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(837)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(875)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(902)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(909)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(976)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(978)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(992)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1015)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1122)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1129)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1146)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1182)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1200)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1249)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1336)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1341)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1344)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1348)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1399)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1401)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1422)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1425)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1456)), {C=0.0006101281269066504, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.000508440105755542, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(N))(marital_status(S)) --> (buy(1497)), {C=0.000508440105755542, S=0.00048633401420095323}
