(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(13)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(365)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(385)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(433)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(464)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(470)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(472)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(500)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(515)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(525)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(583)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(585)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(588)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(593)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(620)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(626)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(645)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(711)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(733)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(738)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(745)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(761)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(768)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(782)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(797)), {C=0.0007011920264449564, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(836)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(841)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(854)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(858)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(894)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(901)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(902)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(908)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(914)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(921)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(955)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(971)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(983)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(996)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1035)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1052)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1068)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1136)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1144)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1156)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1170)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1181)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1214)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1227)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1234)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1273)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1281)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1286)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1295)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1302)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1320)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1324)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1332)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1337)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1341)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1358)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1359)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1368)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1383)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1390)), {C=0.0007011920264449564, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1405)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1406)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1422)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1442)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1446)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1458)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1462)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1470)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1488)), {C=0.0007011920264449564, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0006010217369528197, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1494)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1507)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1508)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1521)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1531)), {C=0.0005008514474606832, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($10K - $30K))(house_owner(Y))(marital_status(M)) --> (buy(1546)), {C=0.0005008514474606832, S=0.00048633401420095323}
