(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(6)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(106)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(110)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(112)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(114)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(116)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(117)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(120)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(128)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(131)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(137)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(138)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(141)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(143)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(148)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(150)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(160)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(178)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(180)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(187)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(188)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(190)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(191)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(193)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(195)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(203)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(204)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(205)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(206)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(214)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(222)), {C=0.0013109283756405673, S=0.001069934831242097}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(224)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(230)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(231)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(233)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(238)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(251)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(253)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(255)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(258)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(260)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(264)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(265)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(266)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(267)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(271)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(275)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(276)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(283)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(289)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(299)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(303)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(309)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(310)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(311)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(312)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(316)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(318)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(319)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(320)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(321)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(324)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(326)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(327)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(330)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(334)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(335)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0013109283756405673, S=0.001069934831242097}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(337)), {C=0.0011917530687641522, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(342)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(343)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(344)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(353)), {C=0.0013109283756405673, S=0.001069934831242097}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(355)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(358)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(360)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(365)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(372)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(378)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(385)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(388)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(389)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(393)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(400)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(403)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(410)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(411)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(414)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(417)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(420)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(433)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(440)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(444)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(447)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(451)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(452)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(454)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(462)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(464)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(469)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(472)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(477)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(480)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(482)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(483)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(486)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(489)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(492)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(500)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0011917530687641522, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(510)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(511)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(513)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(514)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(515)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(517)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(519)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(521)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0010725777618877368, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(525)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(526)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(527)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(532)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(533)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(536)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.0008342271481349064, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(541)), {C=0.0007150518412584912, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(549)), {C=0.0009534024550113217, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(552)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(555)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(556)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(558)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(564)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0005958765343820761, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0005958765343820761, S=0.00048633401420095323}
