(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(10)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(605)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(614)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(615)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(617)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(639)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(643)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(688)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(707)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(791)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(795)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(803)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(819)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(823)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(827)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(832)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(843)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(869)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(871)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(873)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(886)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(893)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(897)), {C=0.0010591817820733483, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(985)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1012)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1042)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1046)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1069)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1120)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1121)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1124)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1128)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1136)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1139)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1209)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1258)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1287)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1291)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1302)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1328)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1355)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1368)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1409)), {C=0.0010591817820733483, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0010591817820733483, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1434)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1438)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1454)), {C=0.0006619886137958428, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1479)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1491)), {C=0.0007943863365550112, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1503)), {C=0.0010591817820733483, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(education(Bachelors Degree))(house_owner(N))(marital_status(S)) --> (buy(1532)), {C=0.0006619886137958428, S=0.00048633401420095323}
