(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(11)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(243)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(250)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(256)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(260)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(262)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(308)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(326)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(338)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(350)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(358)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(362)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(370)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(379)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(380)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(382)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(383)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(390)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(404)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(414)), {C=0.0008921490880253767, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(416)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(427)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(436)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(442)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(447)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(452)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(467)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(468)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(470)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(477)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(480)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(486)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(508)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(526)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(528)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(529)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(549)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(564)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(566)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(591)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(599)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(651)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(725)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(745)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(746)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(806)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0007930214115781126, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(830)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(849)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(855)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(862)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(894)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(901)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(902)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(916)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(924)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(943)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(967)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(972)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1002)), {C=0.0007930214115781126, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1009)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1013)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1017)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1036)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1067)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1074)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1080)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1101)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1103)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1123)), {C=0.0007930214115781126, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1165)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1167)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1179)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1192)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1196)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1200)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1217)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1234)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1262)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1270)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1277)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1308)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1329)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1332)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1346)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1350)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1357)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1366)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1392)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1398)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1407)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1431)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1433)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1442)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1448)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1468)), {C=0.0007930214115781126, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1469)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1481)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1483)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1496)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1506)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1518)), {C=0.0005947660586835844, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1527)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1529)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1533)), {C=0.0006938937351308485, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1547)), {C=0.0004956383822363204, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(member card(Bronze))(house_owner(N))(marital_status(S)) --> (buy(1548)), {C=0.0004956383822363204, S=0.00048633401420095323}
