(yearly_salary($90K - $110K)) --> (buy(6)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(357)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(366)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(369)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(370)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(385)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(391)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(392)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(407)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(409)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(420)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(425)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(433)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(439)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(441)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(460)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(463)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(502)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(508)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(519)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(528)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(543)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(546)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(549)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(557)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(569)), {C=0.017467248908296946, S=0.0007781344227215252}
(yearly_salary($90K - $110K)) --> (buy(571)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(594)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(599)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(602)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(604)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(614)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(616)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(640)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(653)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(663)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(691)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(704)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(706)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(717)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(735)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(740)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(752)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(762)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(770)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(776)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(783)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(798)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(814)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(815)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(819)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(821)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(823)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(827)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(835)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(842)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(845)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(869)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(884)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(888)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(900)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(903)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(904)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(909)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(917)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(939)), {C=0.017467248908296946, S=0.0007781344227215252}
(yearly_salary($90K - $110K)) --> (buy(946)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(948)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(949)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(956)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(991)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1000)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(1007)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1011)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1032)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1039)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1057)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1079)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1080)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1089)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1111)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1112)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1117)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1122)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1125)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1138)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1142)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1153)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1156)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1161)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(1185)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1197)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1212)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(1213)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1216)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1234)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1238)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1239)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1252)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1255)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1270)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1275)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1291)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1316)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1337)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1340)), {C=0.017467248908296946, S=0.0007781344227215252}
(yearly_salary($90K - $110K)) --> (buy(1354)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1362)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1372)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1373)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1382)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1387)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(1402)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1418)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1425)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1430)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(1436)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1440)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1447)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1454)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1455)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1458)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(1467)), {C=0.015283842794759825, S=0.0006808676198813345}
(yearly_salary($90K - $110K)) --> (buy(1471)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1473)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1479)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1493)), {C=0.013100436681222707, S=0.0005836008170411438}
(yearly_salary($90K - $110K)) --> (buy(1496)), {C=0.01091703056768559, S=0.00048633401420095323}
(yearly_salary($90K - $110K)) --> (buy(1545)), {C=0.017467248908296946, S=0.0007781344227215252}
(yearly_salary($90K - $110K)) --> (buy(1546)), {C=0.01091703056768559, S=0.00048633401420095323}
