(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(2)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(42)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(43)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(44)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(46)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(47)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(49)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(50)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(51)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(53)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(56)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(57)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(61)), {C=0.0017431725740848344, S=0.0011672016340822876}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(66)), {C=0.0015979081929110984, S=0.001069934831242097}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(67)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(69)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(70)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(71)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(75)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(79)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(80)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(82)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(83)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(85)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(86)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(89)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(90)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(93)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(95)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(96)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(97)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(98)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(100)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(106)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(110)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(113)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(114)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(116)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(117)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(118)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(119)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(120)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(122)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(125)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(126)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(131)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(133)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(138)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(139)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(143)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(147)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(150)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(154)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(157)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(160)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(161)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(163)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(164)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(168)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(169)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(171)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(172)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(175)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(178)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(179)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(180)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(182)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(184)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(185)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(187)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(188)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(190)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(191)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(192)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(193)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(194)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(202)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(203)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(204)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(206)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(208)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(209)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(211)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(212)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(213)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(214)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(216)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(217)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(220)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(222)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(224)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(226)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(227)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(228)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(230)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(237)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(240)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(244)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(245)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(250)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(252)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(253)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(255)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(263)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(264)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(266)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(267)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(268)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(270)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(272)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(273)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(276)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(277)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(280)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(282)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(284)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(286)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(287)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(289)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(290)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(291)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(292)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(293)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(297)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(299)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(301)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(303)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(304)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(307)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(309)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(310)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(312)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(315)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(317)), {C=0.0018884369552585709, S=0.0012644684369224784}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(318)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(319)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(320)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(321)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(322)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(323)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(326)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(327)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(329)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(330)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(331)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(332)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(333)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(334)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(336)), {C=0.0014526438117373622, S=0.0009726680284019065}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(338)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(341)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(343)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(349)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(350)), {C=0.001307379430563626, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(351)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(353)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(356)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(357)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(358)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(360)), {C=0.0011621150493898898, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(361)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(363)), {C=0.0010168506682161533, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(364)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(365)), {C=0.0008715862870424172, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(367)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(368)), {C=0.0007263219058686811, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(education(Partial High School)) --> (buy(372)), {C=0.0007263219058686811, S=0.00048633401420095323}
