(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(11)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(212)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(216)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(224)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(226)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(227)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(228)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(232)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(238)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(245)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(252)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(253)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(277)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(288)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(301)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(306)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(308)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(339)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(340)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(343)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(347)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(349)), {C=0.001032204789430223, S=0.0009726680284019065}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(354)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(357)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(361)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(362)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(369)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(370)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(371)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(372)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(375)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(380)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(384)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(385)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(390)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(394)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(400)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(404)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(410)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(414)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(419)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(420)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(425)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(426)), {C=0.001032204789430223, S=0.0009726680284019065}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(428)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(432)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(433)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(434)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(439)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(443)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(445)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(451)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(456)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(458)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(460)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(465)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(466)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(484)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(492)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(493)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(495)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(498)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(503)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(506)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(516)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(518)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(520)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(522)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(528)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(530)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(534)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(538)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(546)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(551)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(563)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(564)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(569)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(571)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(577)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(581)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(582)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(588)), {C=0.0011354252683732453, S=0.001069934831242097}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(590)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(597)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(599)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(634)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(637)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(644)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(645)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(646)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(654)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(656)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(662)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(663)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(671)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(682)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(689)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(692)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(697)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(703)), {C=0.0009289843104872007, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(705)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(720)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(738)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(753)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(756)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(759)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(769)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(773)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(775)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(779)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(780)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(789)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(793)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(794)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(802)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(807)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(808)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(813)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(814)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(819)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(820)), {C=0.0009289843104872007, S=0.0008754012255617158}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(821)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(826)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(831)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(834)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(837)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(841)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(847)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(849)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(850)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(860)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(863)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(866)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(868)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(874)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(875)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(881)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(884)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(885)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(891)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(893)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(895)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(898)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(900)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(904)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(905)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(907)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(909)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(911)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(912)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(921)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(925)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(927)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(933)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(935)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(936)), {C=0.0008257638315441784, S=0.0007781344227215252}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(948)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(952)), {C=0.0006193228736581337, S=0.0005836008170411438}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(956)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(958)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(960)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(961)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(964)), {C=0.0005161023947151115, S=0.00048633401420095323}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(966)), {C=0.000722543352601156, S=0.0006808676198813345}
(gender(Male))(country(USA))(age_group(YoungAdults))(marital_status(S)) --> (buy(971)), {C=0.0005161023947151115, S=0.00048633401420095323}
