(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(5)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(206)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(214)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(219)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(221)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(223)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(226)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(228)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(230)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(242)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(244)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(250)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(251)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(258)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(261)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(262)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(263)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(264)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(269)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(270)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(271)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(282)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(284)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(292)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(294)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(297)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(299)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(304)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(318)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(320)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(328)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(331)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(334)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(340)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(343)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(345)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(350)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(352)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(358)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(360)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(362)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(375)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(376)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(388)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(390)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(391)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(402)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(404)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(406)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(407)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(408)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(410)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(412)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(414)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(423)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(426)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(443)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(446)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(447)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(450)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(451)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(457)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(467)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(472)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(474)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(475)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(477)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(478)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(479)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(481)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(482)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(487)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(492)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(499)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(500)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(502)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(503)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(508)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(512)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(516)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(519)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(520)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(522)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(529)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(530)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(531)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(537)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(547)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(549)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(560)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(564)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(567)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(568)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(570)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(573)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(576)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(577)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(580)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(581)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(585)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(593)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(597)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(598)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(604)), {C=0.0010297600659046442, S=0.0009726680284019065}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(607)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(608)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(610)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(611)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(614)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(616)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(617)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(618)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(631)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(644)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(645)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(648)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(650)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(652)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(656)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(659)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(660)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(664)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(665)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(670)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(671)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(673)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(682)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(684)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(685)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(690)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(693)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(699)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(701)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(704)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(706)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(708)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(714)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(718)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(721)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(724)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(732)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(735)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(748)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(749)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(750)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(754)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(774)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(778)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(779)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(783)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(784)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(789)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(797)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(803)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(804)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(805)), {C=0.0006178560395427864, S=0.0005836008170411438}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(808)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(815)), {C=0.0007208320461332509, S=0.0006808676198813345}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(823)), {C=0.0005148800329523221, S=0.00048633401420095323}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(830)), {C=0.0008238080527237154, S=0.0007781344227215252}
(gender(Female))(country(USA))(age_group(MiddleAdults))(marital_status(M)) --> (buy(837)), {C=0.0005148800329523221, S=0.00048633401420095323}
