(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(2)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(104)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(105)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(106)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(107)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(108)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(109)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(110)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(112)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(116)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(118)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(119)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(120)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(121)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(122)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(125)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(126)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(127)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(128)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(129)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(130)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(131)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(132)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(133)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(134)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(135)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(137)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(138)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(139)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(144)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(145)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(146)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(148)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(151)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(152)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(153)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(156)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(157)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(158)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(159)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(160)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(161)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(163)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(165)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(167)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(168)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(169)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(170)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(173)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(174)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(175)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(177)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(180)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(181)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(183)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(184)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(185)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(186)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(187)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(189)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(190)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(192)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(195)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(196)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(197)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(198)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(199)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(201)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(204)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(205)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(206)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(207)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(208)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(210)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(211)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(214)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(216)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(218)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(220)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(222)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(223)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(225)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(227)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(229)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(231)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(232)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(233)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(235)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(240)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(241)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(242)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(243)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(244)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(246)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(248)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(249)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(250)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(251)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(254)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(255)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(256)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(258)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(259)), {C=0.0013472549680026945, S=0.0011672016340822876}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(261)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(262)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(263)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(265)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(267)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(268)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(269)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(271)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(272)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(273)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(274)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(275)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(276)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(277)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(278)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(279)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(282)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(283)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(286)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(287)), {C=0.0012349837206691368, S=0.001069934831242097}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(288)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(290)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(291)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(292)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(293)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(295)), {C=0.001122712473335579, S=0.0009726680284019065}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(296)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(297)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(298)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(299)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(301)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(302)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(306)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(307)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(309)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(310)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(312)), {C=0.0007858987313349051, S=0.0006808676198813345}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(313)), {C=0.001010441226002021, S=0.0008754012255617158}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(315)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(318)), {C=0.0008981699786684631, S=0.0007781344227215252}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(319)), {C=0.0005613562366677895, S=0.00048633401420095323}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(321)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(325)), {C=0.0006736274840013472, S=0.0005836008170411438}
(member card(Bronze))(education(High School Degree))(house_owner(Y)) --> (buy(328)), {C=0.0006736274840013472, S=0.0005836008170411438}
