(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(67)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(644)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(657)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(683)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(723)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(856)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(882)), {C=0.0007021767479185475, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(905)), {C=0.0007021767479185475, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(906)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(922)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(930)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(954)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(970)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1000)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1009)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1044)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1047)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1104)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1117)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1133)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1145)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1150)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1152)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1160)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1193)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1211)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1243)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1311)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1326)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1358)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1376)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1389)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1411)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1447)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1487)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1526)), {C=0.0005015548199418197, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1527)), {C=0.0006018657839301835, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1555)), {C=0.0005015548199418197, S=0.00048633401420095323}
