(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(11)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1356)), {C=0.0006992308460693237, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1395)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1398)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1411)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1413)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1419)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1459)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1469)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1473)), {C=0.0004994506043352313, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1491)), {C=0.0005993407252022774, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(house_owner(Y))(marital_status(M)) --> (buy(1499)), {C=0.0004994506043352313, S=0.00048633401420095323}
