(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(13)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(488)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(548)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(587)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(725)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(728)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(773)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(812)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(825)), {C=0.0008020854220974535, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(873)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(883)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(892)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(951)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(952)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(953)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(968)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1017)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1059)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1165)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1217)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1230)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1262)), {C=0.0007018247443352717, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1317)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1339)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1366)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1417)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1468)), {C=0.0009023460998596352, S=0.0008754012255617158}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1469)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1481)), {C=0.00060156406657309, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1494)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1506)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1521)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1525)), {C=0.0005013033888109084, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(house_owner(N))(marital_status(S)) --> (buy(1548)), {C=0.0005013033888109084, S=0.00048633401420095323}
