(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(220)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(642)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(693)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(822)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(951)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1224)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1254)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1376)), {C=0.0007029876977152899, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1410)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(220)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(347)), {C=0.0007029876977152899, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(360)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(368)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(476)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(633)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(642)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(693)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(822)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(825)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(951)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1024)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1207)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1224)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1254)), {C=0.0005858230814294083, S=0.00048633401420095323}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1376)), {C=0.0007029876977152899, S=0.0005836008170411438}
(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree))(house_owner(N)) --> (buy(1410)), {C=0.0005858230814294083, S=0.00048633401420095323}
