(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(3)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(412)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(425)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(428)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(439)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(441)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(446)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(447)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(455)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(460)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(462)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(463)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(468)), {C=0.000980632507967639, S=0.0007781344227215252}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(472)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(477)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(497)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(503)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(506)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(520)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(523)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(524)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(539)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(547)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(552)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(567)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(579)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(588)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(593)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(603)), {C=0.001103211571463594, S=0.0008754012255617158}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(605)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(609)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(610)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(613)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(614)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(617)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(629)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(633)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(638)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(640)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(645)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(650)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(662)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(668)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(689)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(692)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(707)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(709)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(725)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(728)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(746)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(763)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(786)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(816)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(823)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(832)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(838)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(886)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(893)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(897)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(902)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(908)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(930)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(950)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(952)), {C=0.0008580534444716841, S=0.0006808676198813345}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(956)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(962)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(975)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(993)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1006)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1042)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1058)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1099)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1102)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1119)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1139)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1182)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1184)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1218)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1219)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1223)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1224)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1228)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1235)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1255)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1258)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1270)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1272)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1284)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1291)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1322)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1336)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1365)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1368)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1377)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1388)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1398)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1403)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1404)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1407)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1411)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1415)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1434)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1448)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1449)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1454)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1467)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1479)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1482)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1495)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1503)), {C=0.001225790634959549, S=0.0009726680284019065}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1511)), {C=0.0006128953174797745, S=0.00048633401420095323}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1529)), {C=0.0007354743809757292, S=0.0005836008170411438}
(gender(Female))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1534)), {C=0.0006128953174797745, S=0.00048633401420095323}
