(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(30)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(162)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(195)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(198)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(200)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(211)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(220)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(225)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(228)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(231)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(250)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(257)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(260)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(278)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(283)), {C=0.001101052116466846, S=0.0008754012255617158}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(285)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(296)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(306)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(310)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(312)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(358)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(370)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(391)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(396)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(401)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(403)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(421)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(426)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(427)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(440)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(445)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(446)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(467)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(472)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(473)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(476)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(492)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(541)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(545)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(569)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(592)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(598)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(615)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(622)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(637)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(638)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(639)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(642)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(643)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(647)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(652)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(671)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(723)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(738)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(739)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(742)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(755)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(766)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(819)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(827)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(830)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(841)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(842)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(851)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(852)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(860)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(865)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(873)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(882)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(884)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(897)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(905)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(909)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(944)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(952)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(958)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(964)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(971)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(987)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(992)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(994)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(996)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1001)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1012)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1028)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1030)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1032)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1046)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1069)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1087)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1091)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1110)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1113)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1120)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1124)), {C=0.0009787129924149743, S=0.0007781344227215252}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1128)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1145)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1162)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1171)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1198)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1209)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1287)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1288)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1298)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1302)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1362)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1368)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1373)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1380)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1401)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1405)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1409)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1411)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1413)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1416)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1434)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1435)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1436)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1441)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1456)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1459)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1468)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1473)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1479)), {C=0.0008563738683631025, S=0.0006808676198813345}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1489)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1510)), {C=0.000611695620259359, S=0.00048633401420095323}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1538)), {C=0.0007340347443112307, S=0.0005836008170411438}
(gender(Male))(yearly_salary($50K - $70K))(marital_status(S)) --> (buy(1553)), {C=0.0008563738683631025, S=0.0006808676198813345}
