(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(8)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(270)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(271)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(288)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(292)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(295)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(297)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(300)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(309)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(313)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(315)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(317)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(322)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(323)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(326)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(336)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(338)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(341)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(344)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(345)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(348)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(349)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(356)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(357)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(367)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(373)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(376)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(377)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(378)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(383)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(390)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(394)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(397)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(400)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(405)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(406)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(407)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(412)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(415)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(416)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(418)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(419)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(421)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(426)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(434)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(436)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(437)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(438)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(440)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(442)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(443)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(444)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(446)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(450)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(455)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(457)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(460)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(463)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(481)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(486)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(490)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(494)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(495)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(496)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(500)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(502)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(504)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(508)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(514)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(518)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(521)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(522)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(524)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(525)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(528)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(529)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(531)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(537)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(540)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(543)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(544)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(545)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(550)), {C=0.0011177347242921013, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(554)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(566)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(567)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(569)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(575)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(576)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(579)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(592)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(595)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(597)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(598)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(599)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(605)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(608)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(609)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(614)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(615)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(622)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(628)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(639)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(640)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(655)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(656)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(660)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(662)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(670)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(673)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(676)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(680)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(683)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(685)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(691)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(692)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(704)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(714)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(721)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(732)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(737)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(748)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(765)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(766)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(767)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(769)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(778)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(779)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(783)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(784)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(791)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(792)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(794)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(800)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(810)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(815)), {C=0.0009935419771485345, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(816)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(819)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(838)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(842)), {C=0.0008693492300049676, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(843)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(844)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(846)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(847)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(848)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(855)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(856)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(861)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(862)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(871)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(873)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(879)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(882)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(888)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(889)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(891)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(892)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(896)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(897)), {C=0.0006209637357178341, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(898)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(899)), {C=0.0007451564828614008, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(house_owner(Y))(marital_status(M)) --> (buy(900)), {C=0.0006209637357178341, S=0.00048633401420095323}
