(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(206)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(222)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(231)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(232)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(233)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(238)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(245)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(255)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(256)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(265)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(266)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(267)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(300)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(309)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(318)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(336)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(337)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(339)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(353)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(365)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(385)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(394)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(442)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(445)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(454)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(463)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(472)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(483)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(497)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(502)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(504)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(511)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(513)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(515)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(519)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(522)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(525)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(528)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(529)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(555)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(572)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(581)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0009253903990746096, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(585)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(587)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(588)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(589)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(590)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(609)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(613)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(617)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(622)), {C=0.0009253903990746096, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(626)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(641)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(645)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(648)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(676)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(687)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(695)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(705)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(732)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(733)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(735)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(743)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(782)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(797)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(823)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(824)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(836)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(844)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(854)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(855)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(872)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(873)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(894)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(899)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(901)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(902)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(906)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(909)), {C=0.0010410641989589359, S=0.0008754012255617158}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(914)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(921)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(927)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(935)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(946)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(947)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(966)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(967)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(971)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(983)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(984)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(985)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(988)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(996)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1008)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1010)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1022)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1035)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1050)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1052)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1063)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1065)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1068)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1084)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1113)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1118)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1122)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1134)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1147)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1156)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1162)), {C=0.0009253903990746096, S=0.0007781344227215252}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1175)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1176)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1181)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1200)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1202)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1209)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1213)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1214)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1227)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1234)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1246)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1258)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1266)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1273)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1281)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1302)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1308)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1309)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1317)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1325)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1332)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1337)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1342)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1358)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1379)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1381)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1383)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1390)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1396)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1405)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1406)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1418)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1422)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1424)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1432)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1442)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1446)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1447)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1458)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1460)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1466)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1470)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1471)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1486)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1488)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1491)), {C=0.0006940427993059571, S=0.0005836008170411438}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1514)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1517)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1521)), {C=0.0008097165991902834, S=0.0006808676198813345}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1531)), {C=0.0005783689994216311, S=0.00048633401420095323}
(gender(Male))(member card(Normal))(education(Partial High School))(marital_status(M)) --> (buy(1555)), {C=0.0006940427993059571, S=0.0005836008170411438}
