(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(7)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(304)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(311)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(337)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(349)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(358)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(362)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(376)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(378)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(394)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(402)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(404)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(405)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(411)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(415)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(419)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(426)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(433)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(438)), {C=0.0008055235903337169, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(443)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(455)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(478)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(482)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(488)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(502)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(525)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(528)), {C=0.0009205983889528194, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(529)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(530)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(545)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(549)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(566)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(591)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(598)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(609)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(611)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(622)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(626)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(640)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(670)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(704)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(714)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(737)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(748)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(769)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(778)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(784)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(788)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(815)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(842)), {C=0.0009205983889528194, S=0.0007781344227215252}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(866)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(869)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(871)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(897)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(898)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(926)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(938)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(947)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(948)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(960)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(965)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(970)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1005)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1017)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1032)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1047)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1053)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1082)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1088)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1092)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1124)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1126)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1145)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1166)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1171)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1172)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1237)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1256)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1260)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1275)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1316)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1333)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1373)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1377)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1388)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1413)), {C=0.0008055235903337169, S=0.0006808676198813345}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1417)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1421)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1429)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1441)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1446)), {C=0.0010356731875719217, S=0.0008754012255617158}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1448)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1453)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1503)), {C=0.0005753739930955121, S=0.00048633401420095323}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1504)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1509)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1536)), {C=0.0006904487917146144, S=0.0005836008170411438}
(yearly_salary($50K - $70K))(member card(Bronze))(education(Bachelors Degree))(marital_status(M)) --> (buy(1540)), {C=0.0005753739930955121, S=0.00048633401420095323}
