(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(3)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(255)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(256)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(263)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(295)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(296)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(313)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(334)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(343)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(345)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(347)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(350)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(360)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(362)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(368)), {C=0.000843348091924942, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(372)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(384)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(389)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(390)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(410)), {C=0.000843348091924942, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(421)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(425)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(426)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(439)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(443)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(445)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(447)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(452)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(456)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(472)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(476)), {C=0.000843348091924942, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(479)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(480)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(488)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(490)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(497)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(508)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(528)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(529)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(536)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(559)), {C=0.000843348091924942, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(564)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(573)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(575)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(576)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(585)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(595)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(599)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(604)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(629)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(633)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(642)), {C=0.0010541851149061775, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(643)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(646)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(656)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(668)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(681)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(689)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(693)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(718)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(725)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(726)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(735)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(785)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(807)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(822)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(825)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(828)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(830)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(831)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(836)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(837)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(838)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(840)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(858)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(859)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(860)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(862)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(863)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(865)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(874)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(882)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(884)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(892)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(896)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(901)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(903)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(908)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(915)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(917)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(928)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(930)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(951)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(954)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(963)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(966)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(969)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1001)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1005)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1019)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1024)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1031)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1049)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1062)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1063)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1064)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1065)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1070)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1084)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1087)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1092)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1101)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1104)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1105)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1198)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1202)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1207)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1217)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1219)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1224)), {C=0.000843348091924942, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1230)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1254)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1257)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1261)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1275)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1282)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1319)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1332)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1336)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1349)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1357)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1358)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1366)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1376)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1390)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1391)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1392)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1394)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1396)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1400)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1403)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1410)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1415)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1417)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1420)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1443)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1452)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1461)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1467)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1479)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1485)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1500)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1518)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1525)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1527)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1528)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1533)), {C=0.000843348091924942, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(1554)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(3)), {C=0.0007379295804343242, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(4)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(16)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(17)), {C=0.0005270925574530887, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(42)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(46)), {C=0.0006325110689437064, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(member card(Bronze))(education(High School Degree)) --> (buy(50)), {C=0.0005270925574530887, S=0.00048633401420095323}
