(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(27)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(422)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(437)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(444)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(445)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(447)), {C=0.0010057832537088258, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(456)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(461)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(481)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(489)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(498)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(518)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(519)), {C=0.0010057832537088258, S=0.0007781344227215252}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(535)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(546)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(549)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(553)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(572)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(603)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(611)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(629)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(634)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(642)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(656)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(675)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(676)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(686)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(751)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(755)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(780)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(791)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(801)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(827)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(831)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(841)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(862)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(875)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(884)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(896)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(897)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(925)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(931)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(942)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(945)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(952)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(972)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(993)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1003)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1011)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1018)), {C=0.001131506160422429, S=0.0008754012255617158}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1019)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1037)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1045)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1063)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1064)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1088)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1123)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1126)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1129)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1141)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1150)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1161)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1173)), {C=0.0008800603469952225, S=0.0006808676198813345}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1212)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1222)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1240)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1245)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1249)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1266)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1268)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1298)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1304)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1350)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1355)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1368)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1373)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1380)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1389)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1392)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1396)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1407)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1411)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1415)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1417)), {C=0.0007543374402816192, S=0.0005836008170411438}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1451)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1452)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1497)), {C=0.0006286145335680162, S=0.00048633401420095323}
(gender(Female))(yearly_salary($10K - $30K))(member card(Normal))(house_owner(N)) --> (buy(1504)), {C=0.0006286145335680162, S=0.00048633401420095323}
