(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(2)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(125)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(126)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(128)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(129)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(131)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(133)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(137)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(138)), {C=0.0017854690289795356, S=0.0012644684369224784}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(139)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(141)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(142)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(143)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(145)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(146)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(147)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(148)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(150)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(154)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(156)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(157)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(160)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(161)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(162)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(163)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(168)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(169)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(171)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(172)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(174)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(175)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(177)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(178)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(179)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(180)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(182)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(183)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(184)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(185)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(186)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(187)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(188)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(190)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(191)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(192)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(193)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(194)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(195)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(196)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(198)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(199)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(200)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(202)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(203)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(204)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(205)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(206)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(208)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(209)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(210)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(211)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(212)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(213)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(214)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(216)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(217)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(218)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(221)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(222)), {C=0.0016481252575195713, S=0.0011672016340822876}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(224)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(226)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(227)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(228)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(230)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(231)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(232)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(233)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(238)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(239)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(241)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(242)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(243)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(244)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(245)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(248)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(249)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(250)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(251)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(252)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(253)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(254)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(255)), {C=0.0016481252575195713, S=0.0011672016340822876}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(258)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(260)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(261)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(264)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(265)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(266)), {C=0.0015107814860596072, S=0.001069934831242097}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(267)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(270)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(271)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(272)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(273)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(275)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(276)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(277)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(279)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(281)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(282)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(284)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(286)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(287)), {C=0.0013734377145996428, S=0.0009726680284019065}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(288)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(289)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(290)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(291)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(292)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(295)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(296)), {C=0.0006867188572998214, S=0.00048633401420095323}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(297)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(298)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(299)), {C=0.0009614064002197499, S=0.0006808676198813345}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(300)), {C=0.0010987501716797144, S=0.0007781344227215252}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(301)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(303)), {C=0.0008240626287597856, S=0.0005836008170411438}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(304)), {C=0.0012360939431396785, S=0.0008754012255617158}
(yearly_salary($10K - $30K))(member card(Normal))(house_owner(Y)) --> (buy(305)), {C=0.0008240626287597856, S=0.0005836008170411438}
