(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(2)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(185)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(187)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(193)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(195)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(197)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(199)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(200)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(202)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(207)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(210)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(211)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(212)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(215)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(218)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(223)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(224)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(225)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(226)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(227)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(239)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(248)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(249)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(252)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(254)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(256)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(261)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(262)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(264)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(265)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(274)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(279)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(283)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(287)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(288)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(289)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(292)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(293)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(297)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(301)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(304)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(305)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(306)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(307)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(308)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(312)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(322)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(324)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(325)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(326)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(328)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(333)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(334)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(336)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(337)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(339)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(342)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(346)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(347)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(348)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(351)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(354)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(357)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(358)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(361)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(362)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(363)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(366)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(368)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(369)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(370)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(371)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(374)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(375)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(379)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(384)), {C=0.001331967213114754, S=0.0012644684369224784}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(386)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(392)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(393)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(394)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(400)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(402)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(404)), {C=0.001127049180327869, S=0.001069934831242097}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(405)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(407)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(410)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(411)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(413)), {C=0.0010245901639344263, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(414)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(416)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(417)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(418)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(419)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(420)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(422)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(423)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(426)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(427)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(428)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(429)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(431)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(432)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(433)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(434)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(437)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(439)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(441)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(443)), {C=0.0010245901639344263, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(444)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(446)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(447)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(449)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(451)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(455)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(456)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(457)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(458)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(464)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(465)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(469)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(472)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(473)), {C=0.0009221311475409836, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(475)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(480)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(484)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(485)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(486)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(493)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(495)), {C=0.000819672131147541, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(497)), {C=0.0005122950819672131, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(499)), {C=0.0007172131147540983, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(500)), {C=0.0006147540983606557, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(S)) --> (buy(501)), {C=0.0006147540983606557, S=0.0005836008170411438}
