(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(236)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(238)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(243)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(244)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(250)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(254)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(255)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(260)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(270)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(278)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(279)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(283)), {C=0.0010298661174047376, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(285)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(286)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(289)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(290)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(296)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(298)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(302)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(306)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(308)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(310)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(311)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(312)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(313)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(318)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(321)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(322)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(324)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(327)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(334)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(338)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(339)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(343)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(349)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(351)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(353)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(357)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(358)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(361)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(362)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(369)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(370)), {C=0.0010298661174047376, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(378)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(380)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(381)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(384)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(385)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(388)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(391)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(394)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(395)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(398)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(399)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(401)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(404)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(408)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(410)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(415)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(416)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(418)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(420)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(421)), {C=0.0010298661174047376, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(423)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(424)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(426)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(427)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(428)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(435)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(439)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(440)), {C=0.0010298661174047376, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(443)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(445)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(446)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(454)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(456)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(458)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(459)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(460)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(461)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(466)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(467)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(468)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(472)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(475)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(476)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(478)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(480)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(492)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(493)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(500)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(505)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(506)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(513)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(520)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(522)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(525)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(530)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(532)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(535)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(536)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(541)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(545)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(547)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(562)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(563)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(565)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(568)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(569)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(571)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(576)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(577)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(579)), {C=0.00082389289392379, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(581)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(583)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(587)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(588)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(589)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(592)), {C=0.0009268795056642637, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(593)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(598)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(606)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(609)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(611)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(612)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(613)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(614)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(615)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(617)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(622)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(623)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(629)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(630)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(631)), {C=0.0007209062821833161, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(632)), {C=0.0006179196704428424, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(634)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(636)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(637)), {C=0.0005149330587023688, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(638)), {C=0.00082389289392379, S=0.0007781344227215252}
