(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(2)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(67)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(68)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(70)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(75)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(77)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(78)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(81)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(84)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(86)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(93)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(96)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(98)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(103)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(104)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(108)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(109)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(111)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(112)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(113)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(114)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(115)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(120)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(126)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(132)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(135)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(139)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(144)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(145)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(148)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(151)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(153)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(156)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(158)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(159)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(160)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(163)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(164)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(165)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(167)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(168)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(179)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(180)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(181)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(183)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(185)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(189)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(190)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(192)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(195)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(201)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(202)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(203)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(220)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(224)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(227)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(233)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(234)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(235)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(244)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(248)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(250)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(251)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(252)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(258)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(259)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(262)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(264)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(266)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(269)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(271)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(275)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(279)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(287)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(291)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(295)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(298)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(299)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(300)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(301)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(302)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(306)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(307)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(310)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(312)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(313)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(321)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(328)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(329)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(330)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(332)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(338)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(341)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(343)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(347)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(349)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(351)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(353)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(354)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(356)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(357)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(359)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(361)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(363)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(366)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(373)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(378)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(379)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(380)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(381)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(382)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(383)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(384)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(386)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(387)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(389)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(390)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(391)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(392)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(393)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(394)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(396)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(397)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(400)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(401)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(404)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(407)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(410)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(414)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(417)), {C=0.0010258514567090685, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(419)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(421)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(425)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(428)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(430)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(433)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(438)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(439)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(440)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(441)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(443)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(444)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(445)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(447)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(448)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(451)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(455)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(456)), {C=0.0010258514567090685, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(462)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(463)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(464)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(465)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(466)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(471)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(473)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(478)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(479)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(480)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(482)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(483)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(488)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(489)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(490)), {C=0.0011284366023799754, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(494)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(496)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(497)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(500)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(501)), {C=0.0011284366023799754, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(503)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(504)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(512)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(513)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(521)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(522)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(523)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(524)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(526)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(527)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(533)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(535)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(543)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(544)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(545)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(546)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(549)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(550)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(555)), {C=0.0006155108740254411, S=0.0005836008170411438}
