(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(5)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(85)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(87)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(94)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(96)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(108)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(109)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(119)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(136)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(137)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(150)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(151)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(154)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(165)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(166)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(168)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(173)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(182)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(186)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(196)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(202)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(206)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(208)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(214)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(217)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(219)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(221)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(223)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(226)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(227)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(228)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(232)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(237)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(248)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(250)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(251)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(254)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(258)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(261)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(262)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(263)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(264)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(265)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(266)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(269)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(271)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(272)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(282)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(284)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(286)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(292)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(297)), {C=0.0010256410256410256, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(298)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(300)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(304)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(312)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(315)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(323)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(326)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(328)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(331)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(334)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(339)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(340)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(341)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(344)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(345)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(349)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(350)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(358)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(362)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(364)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(371)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(373)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(375)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(376)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(378)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(382)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(384)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(386)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(387)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(390)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(392)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(394)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(402)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(403)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(404)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(405)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(406)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(408)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(409)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(410)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(411)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(414)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(415)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(418)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(419)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(423)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(426)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(431)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(433)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(438)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(440)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(441)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(442)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(443)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(446)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(450)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(457)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(461)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(466)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(467)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(470)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(472)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(477)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(478)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(481)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(482)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(485)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(488)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(490)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(498)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(499)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(500)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(501)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(502)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(504)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(505)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(508)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(509)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(510)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(512)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(517)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(519)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(520)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(521)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(522)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(524)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(527)), {C=0.0010256410256410256, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(528)), {C=0.0010256410256410256, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(530)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(532)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(536)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(537)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(540)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(543)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(544)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(547)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(549)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(560)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(561)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(567)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(568)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(569)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(572)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(574)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(576)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(577)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(578)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(580)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(581)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(582)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(587)), {C=0.0008205128205128206, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(591)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(595)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(598)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(600)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(604)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(605)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(610)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(611)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(614)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(615)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(622)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(631)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(633)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(639)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(640)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(641)), {C=0.0007179487179487179, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(644)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(648)), {C=0.0009230769230769231, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(653)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(654)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(660)), {C=0.0005128205128205128, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(670)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(671)), {C=0.0006153846153846153, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(M)) --> (buy(673)), {C=0.0009230769230769231, S=0.0008754012255617158}
