(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(44)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(45)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(52)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(60)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(61)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(66)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(67)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(68)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(71)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(74)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(80)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(81)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(82)), {C=0.0010214504596527069, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(83)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(88)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(96)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(98)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(107)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(108)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(109)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(119)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(126)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(127)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(130)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(132)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(133)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(135)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(137)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(138)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(139)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(141)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(145)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(146)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(147)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(152)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(153)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(154)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(155)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(158)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(170)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(172)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(175)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(181)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(182)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(184)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(185)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(188)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(189)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(190)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(192)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(194)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(196)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(198)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(201)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(202)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(204)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(205)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(206)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(209)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(213)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(216)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(217)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(221)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(223)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(224)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(227)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(228)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(229)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(231)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(237)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(238)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(243)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(246)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(248)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(249)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(253)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(255)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(258)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(259)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(262)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(263)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(264)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(265)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(269)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(270)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(274)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(278)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(279)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(281)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(283)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(286)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(289)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(292)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(293)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(296)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(301)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(302)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(307)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(310)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(313)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(318)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(328)), {C=0.0010214504596527069, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(329)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(331)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(334)), {C=0.0010214504596527069, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(335)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(336)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(343)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(344)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(345)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(351)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(356)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(357)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(359)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(360)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(361)), {C=0.0010214504596527069, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(363)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(370)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(371)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(372)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(373)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(374)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(381)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(382)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(384)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(388)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(389)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(390)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(391)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(392)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(394)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(396)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(399)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(400)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(402)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(404)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(407)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(410)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(412)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(414)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(415)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(418)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(419)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(422)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(424)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(426)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(428)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(430)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(433)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(434)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(435)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(437)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(439)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(441)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(442)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(443)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(446)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(447)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(448)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(449)), {C=0.0011235955056179776, S=0.001069934831242097}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(451)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(454)), {C=0.0010214504596527069, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(456)), {C=0.0010214504596527069, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(457)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(459)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(460)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(463)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(469)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(471)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(472)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(476)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(477)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(478)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(480)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(481)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(483)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(484)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(485)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(486)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(489)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(490)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(492)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(496)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(498)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(499)), {C=0.0007150153217568947, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(501)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(507)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(509)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(511)), {C=0.0009193054136874362, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(516)), {C=0.0008171603677221655, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(517)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(518)), {C=0.0006128702757916241, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(521)), {C=0.0005107252298263534, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(522)), {C=0.0005107252298263534, S=0.00048633401420095323}
