(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(10)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(309)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(313)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(316)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(323)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(330)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(333)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(335)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(337)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(342)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(344)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(345)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(349)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(360)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(369)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(371)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(373)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(382)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(384)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(385)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(386)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(391)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(393)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(396)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(400)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(402)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(403)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(407)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(413)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(420)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(425)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(427)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(428)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(430)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(434)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(436)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(439)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(440)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(443)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(447)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(448)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(454)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(455)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(460)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(463)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(464)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(467)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(468)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(470)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(472)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(475)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(477)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(481)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(497)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(498)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(502)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(503)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(506)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(508)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(511)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(512)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(514)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(518)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(520)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(523)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(527)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(530)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(535)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(537)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(538)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(539)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(542)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(544)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(549)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(550)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(552)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(553)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(558)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(566)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(567)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(570)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(571)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(576)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(580)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(584)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(593)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(603)), {C=0.0009232663110381618, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(605)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(606)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(608)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(609)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(611)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(613)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(614)), {C=0.0008206811653672549, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(616)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(617)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(620)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(621)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(623)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(629)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(631)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(640)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(641)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(645)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(647)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(648)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(650)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(658)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(662)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(664)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(672)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(677)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(682)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(686)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(688)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(689)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(690)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(692)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(697)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(705)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(707)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(709)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(715)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(719)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(722)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(728)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(740)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(746)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(748)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(763)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(769)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(773)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(778)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(781)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(782)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(783)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(786)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(787)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(790)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(791)), {C=0.000718096019696348, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(795)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(796)), {C=0.0006155108740254411, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(797)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(800)), {C=0.0005129257283545343, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(Bachelors Degree))(marital_status(S)) --> (buy(806)), {C=0.000718096019696348, S=0.0006808676198813345}
