(country(USA))(age_group(YoungAdults)) --> (buy(2)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(143)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(144)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(145)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(146)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(147)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(148)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(149)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(150)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(151)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(152)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(153)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(154)), {C=0.0021300588898634258, S=0.001653535648283241}
(country(USA))(age_group(YoungAdults)) --> (buy(155)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(156)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(157)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(158)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(159)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(160)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(161)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(162)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(163)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(164)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(165)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(166)), {C=0.0021300588898634258, S=0.001653535648283241}
(country(USA))(age_group(YoungAdults)) --> (buy(167)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(168)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(169)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(170)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(171)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(172)), {C=0.0018794637263500815, S=0.0014590020426028597}
(country(USA))(age_group(YoungAdults)) --> (buy(173)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(174)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(175)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(176)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(177)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(178)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(179)), {C=0.00238065405337677, S=0.0018480692539636222}
(country(USA))(age_group(YoungAdults)) --> (buy(180)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(181)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(182)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(183)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(184)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(185)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(186)), {C=0.0006264879087833605, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults)) --> (buy(187)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(188)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(189)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(191)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(192)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(193)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(194)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(195)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(196)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(197)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(198)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(199)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(200)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(201)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(202)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(203)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(204)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(205)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(206)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(207)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(208)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(209)), {C=0.0006264879087833605, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults)) --> (buy(210)), {C=0.0006264879087833605, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults)) --> (buy(211)), {C=0.00238065405337677, S=0.0018480692539636222}
(country(USA))(age_group(YoungAdults)) --> (buy(212)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(213)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(214)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(215)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(216)), {C=0.002255356471620098, S=0.0017508024511234317}
(country(USA))(age_group(YoungAdults)) --> (buy(217)), {C=0.0007517854905400326, S=0.0005836008170411438}
(country(USA))(age_group(YoungAdults)) --> (buy(218)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(219)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(220)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(221)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(222)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(223)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(224)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(225)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(226)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(227)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(228)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(229)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(230)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(231)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(232)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(233)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(234)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(235)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(237)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(238)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(239)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(240)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(241)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(242)), {C=0.001002380654053377, S=0.0007781344227215252}
(country(USA))(age_group(YoungAdults)) --> (buy(243)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(244)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(245)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(246)), {C=0.0006264879087833605, S=0.00048633401420095323}
(country(USA))(age_group(YoungAdults)) --> (buy(248)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(249)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(250)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(251)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(252)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(253)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(254)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(255)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(256)), {C=0.0008770830722967046, S=0.0006808676198813345}
(country(USA))(age_group(YoungAdults)) --> (buy(257)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(258)), {C=0.001127678235810049, S=0.0008754012255617158}
(country(USA))(age_group(YoungAdults)) --> (buy(259)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(260)), {C=0.001378273399323393, S=0.001069934831242097}
(country(USA))(age_group(YoungAdults)) --> (buy(261)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(262)), {C=0.0016288685628367374, S=0.0012644684369224784}
(country(USA))(age_group(YoungAdults)) --> (buy(263)), {C=0.001252975817566721, S=0.0009726680284019065}
(country(USA))(age_group(YoungAdults)) --> (buy(264)), {C=0.002004761308106754, S=0.0015562688454430504}
(country(USA))(age_group(YoungAdults)) --> (buy(265)), {C=0.0015035709810800651, S=0.0011672016340822876}
(country(USA))(age_group(YoungAdults)) --> (buy(266)), {C=0.0017541661445934092, S=0.001361735239762669}
(country(USA))(age_group(YoungAdults)) --> (buy(267)), {C=0.001002380654053377, S=0.0007781344227215252}
