(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(3)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(120)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(125)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(131)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(133)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(134)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(135)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(137)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(141)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(146)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(148)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(150)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(152)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(156)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(158)), {C=0.0010379425671779496, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(162)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(163)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(167)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(170)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(172)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(173)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(174)), {C=0.0010379425671779496, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(176)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(180)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(185)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(186)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(189)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(195)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(201)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(204)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(212)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(220)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(221)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(223)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(225)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(227)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(232)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(240)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(244)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(246)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(255)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(256)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(258)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(260)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(262)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(263)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(269)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(282)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(284)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(285)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(289)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(290)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(295)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(296)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(301)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(302)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(309)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(312)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(313)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(320)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(328)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(332)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(334)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(336)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(339)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(343)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(345)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(347)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(350)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(353)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(354)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(360)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(361)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(362)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(368)), {C=0.0012685964709952717, S=0.001069934831242097}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(372)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(375)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(379)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(380)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(384)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(388)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(389)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(390)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(391)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(396)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(407)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(410)), {C=0.0010379425671779496, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(413)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(414)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(417)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(421)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(422)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(424)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(425)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(426)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(430)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(432)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(438)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(439)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(440)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(441)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(442)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(443)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(445)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(446)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(447)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(448)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(450)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(452)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(453)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(456)), {C=0.0011532695190866107, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(458)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(460)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(462)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(463)), {C=0.0010379425671779496, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(468)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(472)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(475)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(476)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(477)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(478)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(479)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(480)), {C=0.0010379425671779496, S=0.0008754012255617158}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(483)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(486)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(488)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(489)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(490)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(492)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(494)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(495)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(497)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(499)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(507)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(508)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(511)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(519)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(521)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(526)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(528)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(529)), {C=0.0011532695190866107, S=0.0009726680284019065}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(536)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(548)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(555)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(556)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(559)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(563)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(564)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(568)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(573)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(575)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(576)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(585)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(587)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(588)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(589)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(590)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(593)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(595)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(597)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(599)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(604)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(608)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(609)), {C=0.0009226156152692885, S=0.0007781344227215252}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(619)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(620)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(621)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(625)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(626)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(628)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(629)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(632)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(633)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(638)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(642)), {C=0.0012685964709952717, S=0.001069934831242097}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(643)), {C=0.0008072886633606274, S=0.0006808676198813345}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(644)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(645)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(646)), {C=0.0005766347595433053, S=0.00048633401420095323}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(648)), {C=0.0006919617114519663, S=0.0005836008170411438}
(country(USA))(age_group(MiddleAdults))(education(High School Degree)) --> (buy(654)), {C=0.0005766347595433053, S=0.00048633401420095323}
