(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(12)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(70)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(72)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(76)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(77)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(79)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(90)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(98)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(108)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(111)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(112)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(115)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(119)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(125)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(129)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(132)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(135)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(136)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(137)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(138)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(148)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(149)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(153)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(163)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(191)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(196)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(201)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(213)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(225)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(231)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(234)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(244)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(250)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(258)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(262)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(267)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(268)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(274)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(275)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(277)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(285)), {C=0.0009780482503803521, S=0.0008754012255617158}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(288)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(292)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(293)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(305)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(307)), {C=0.0011953923060204303, S=0.001069934831242097}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(323)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(331)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(332)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(335)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(337)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(340)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(341)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(344)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(354)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(358)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(362)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(369)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(370)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(371)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(372)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(374)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(376)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(377)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(390)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(399)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(407)), {C=0.0009780482503803521, S=0.0008754012255617158}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(413)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(414)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(416)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(417)), {C=0.0009780482503803521, S=0.0008754012255617158}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(419)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(420)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(429)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(434)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(436)), {C=0.0009780482503803521, S=0.0008754012255617158}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(438)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(439)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(443)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(455)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(460)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(461)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(465)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(482)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(483)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(485)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(498)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(501)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(502)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(503)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(506)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(511)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(518)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(523)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(535)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(537)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(539)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(540)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(541)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(544)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(546)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(551)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(553)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(558)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(565)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(581)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(585)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(590)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(600)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(601)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(602)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(604)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(610)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(612)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(613)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(615)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(622)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(627)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(633)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(645)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(648)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(652)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(656)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(659)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(660)), {C=0.0011953923060204303, S=0.001069934831242097}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(675)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(680)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(683)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(684)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(686)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(690)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(695)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(704)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(735)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(738)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(747)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(753)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(754)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(771)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(773)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(778)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(792)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(794)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(798)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(821)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(823)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(827)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(832)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(840)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(847)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(848)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(849)), {C=0.0010867202782003913, S=0.0009726680284019065}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(862)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(863)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(868)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(871)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(874)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(878)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(879)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(880)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(881)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(882)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(884)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(890)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(900)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(901)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(903)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(908)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(910)), {C=0.000869376222560313, S=0.0007781344227215252}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(914)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(915)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(916)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(918)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(923)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(926)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(927)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(938)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(939)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(943)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(947)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(948)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(952)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(953)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(962)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(967)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(969)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(970)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(973)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(975)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(979)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(983)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(989)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(990)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(999)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1006)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1010)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1012)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1026)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1028)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1029)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1030)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1031)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1040)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1042)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1046)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1053)), {C=0.0007607041947402738, S=0.0006808676198813345}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1054)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1063)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1076)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1077)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1079)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1082)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1085)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1088)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1093)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1096)), {C=0.0006520321669202347, S=0.0005836008170411438}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1106)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1107)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1111)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1113)), {C=0.0005433601391001957, S=0.00048633401420095323}
(country(USA))(education(Partial College))(house_owner(Y)) --> (buy(1114)), {C=0.0005433601391001957, S=0.00048633401420095323}
