(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(2)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(74)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(77)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(78)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(79)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(80)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(81)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(82)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(83)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(85)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(86)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(87)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(89)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(91)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(92)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(95)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(96)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(98)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(99)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(100)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(101)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(103)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(106)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(107)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(109)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(110)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(111)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(112)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(113)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(114)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(115)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(116)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(118)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(120)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(123)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(126)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(128)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(129)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(130)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(132)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(133)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(134)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(135)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(136)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(138)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(139)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(141)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(142)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(143)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(145)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(147)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(151)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(153)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(154)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(155)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(156)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(157)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(159)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(162)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(163)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(164)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(166)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(168)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(170)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(172)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(174)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(176)), {C=0.0013385387618516451, S=0.0011672016340822876}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(178)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(179)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(181)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(182)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(183)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(184)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(188)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(190)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(194)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(195)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(196)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(197)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(198)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(199)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(200)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(202)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(208)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(211)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(212)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(213)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(217)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(219)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(220)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(223)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(226)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(227)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(228)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(230)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(231)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(232)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(233)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(236)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(242)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(243)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(244)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(246)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(250)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(252)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(253)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(254)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(256)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(257)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(258)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(259)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(261)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(262)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(269)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(271)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(272)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(274)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(276)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(279)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(280)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(281)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(283)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(285)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(286)), {C=0.001226993865030675, S=0.001069934831242097}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(288)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(289)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(290)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(292)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(294)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(296)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(297)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(298)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(302)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(304)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(305)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(309)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(311)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(312)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(313)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(315)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(316)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(318)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(322)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(323)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(325)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(327)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(330)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(334)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(337)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(340)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(341)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(343)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(344)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(345)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(346)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(348)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(349)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(350)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(351)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(352)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(353)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(354)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(355)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(358)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(360)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(362)), {C=0.0017847183491355272, S=0.0015562688454430504}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(364)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(365)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(369)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(370)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(371)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(372)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(373)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(376)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(378)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(379)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(380)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(381)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(382)), {C=0.0013385387618516451, S=0.0011672016340822876}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(383)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(384)), {C=0.0011154489682097045, S=0.0009726680284019065}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(385)), {C=0.001003904071388734, S=0.0008754012255617158}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(386)), {C=0.0005577244841048522, S=0.00048633401420095323}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(388)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(390)), {C=0.0006692693809258226, S=0.0005836008170411438}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(391)), {C=0.0008923591745677636, S=0.0007781344227215252}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(394)), {C=0.000780814277746793, S=0.0006808676198813345}
(country(USA))(education(Bachelors Degree))(house_owner(N)) --> (buy(395)), {C=0.0008923591745677636, S=0.0007781344227215252}
