(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(12)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(788)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(794)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(813)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(814)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(828)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(837)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(839)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(844)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(849)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(854)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(855)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(856)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(865)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(866)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(872)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(882)), {C=0.0008120178643930167, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(888)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(895)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(896)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(900)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(902)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(903)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(905)), {C=0.0009135200974421438, S=0.0008754012255617158}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(906)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(909)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(913)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(922)), {C=0.0008120178643930167, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(923)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(926)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(930)), {C=0.0007105156313438896, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(934)), {C=0.0006090133982947625, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(936)), {C=0.0008120178643930167, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(937)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(947)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(948)), {C=0.0007105156313438896, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(954)), {C=0.0007105156313438896, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(958)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(961)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(967)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(970)), {C=0.0008120178643930167, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(978)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(990)), {C=0.0005075111652456354, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(S)) --> (buy(995)), {C=0.0008120178643930167, S=0.0007781344227215252}
