(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(11)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(203)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(222)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(230)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(234)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(237)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(253)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(264)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(267)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(271)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(282)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(303)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(311)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(317)), {C=0.0008172438451322913, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(318)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(320)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(336)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(341)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(343)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(350)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(353)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(358)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(360)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(363)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(385)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(388)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(389)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(392)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(409)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(410)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(411)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(417)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(426)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(437)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(451)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(455)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(456)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(467)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(484)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(489)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(502)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(519)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(522)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(533)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(535)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(536)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(537)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(541)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(546)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(549)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(556)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(570)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(574)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(583)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(585)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(587)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(593)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(597)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(598)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(611)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(614)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(618)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(627)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(634)), {C=0.0008172438451322913, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(659)), {C=0.0008172438451322913, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(666)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(681)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(696)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(718)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(725)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(736)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(739)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(789)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(809)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(819)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(820)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(827)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(830)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(831)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(840)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(842)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(844)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(848)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(853)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(854)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(858)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(864)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(879)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(881)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(883)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(896)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(897)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(898)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(912)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(915)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(916)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(924)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(929)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(934)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(938)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(947)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(952)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(953)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(956)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(957)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(963)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(969)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(973)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(975)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(979)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(987)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(990)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(992)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(993)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1008)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1015)), {C=0.0008172438451322913, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1016)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1018)), {C=0.0008172438451322913, S=0.0007781344227215252}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1022)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1023)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1053)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1060)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1063)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1069)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1072)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1073)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1077)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1086)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1089)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1092)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1102)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1106)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1121)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1123)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1136)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1138)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1149)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1161)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1166)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1169)), {C=0.0007150883644907549, S=0.0006808676198813345}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1170)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1173)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1192)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1196)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1198)), {C=0.0006129328838492185, S=0.0005836008170411438}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1206)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1209)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1212)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1218)), {C=0.0005107774032076821, S=0.00048633401420095323}
(gender(Female))(country(USA))(yearly_salary($10K - $30K))(education(Partial High School))(marital_status(M)) --> (buy(1219)), {C=0.0005107774032076821, S=0.00048633401420095323}
