(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(594)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(597)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(606)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(621)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(630)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(632)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(635)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(656)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(660)), {C=0.0008107834194790717, S=0.0007781344227215252}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(670)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(677)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(679)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(680)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(681)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(691)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(699)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(725)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(730)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(731)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(733)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(737)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(738)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(751)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(755)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(759)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(760)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(762)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(764)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(772)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(777)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(778)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(795)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(799)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(804)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(807)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(821)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(826)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(834)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(836)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(838)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(839)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(840)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(852)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(854)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(857)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(858)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(862)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(869)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(871)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(872)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(884)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(905)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(906)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(907)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(913)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(920)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(921)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(928)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(933)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(935)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(943)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(944)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(957)), {C=0.0005067396371744199, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(960)), {C=0.0007094354920441876, S=0.0006808676198813345}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(966)), {C=0.0006080875646093037, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($30K - $50K))(education(High School Degree))(marital_status(M)) --> (buy(968)), {C=0.0006080875646093037, S=0.0005836008170411438}
