(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(37)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1030)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1032)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1046)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1069)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1110)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1120)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1124)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1128)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1145)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1162)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1171)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1209)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1288)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1302)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1401)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1409)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1411)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1435)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1441)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1468)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1473)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1479)), {C=0.0005132416341613632, S=0.00048633401420095323}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1489)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1538)), {C=0.0006158899609936358, S=0.0005836008170411438}
(gender(Male))(country(USA))(yearly_salary($50K - $70K))(education(Bachelors Degree))(marital_status(S)) --> (buy(1553)), {C=0.0005132416341613632, S=0.00048633401420095323}
