(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(3)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(81)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(83)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(88)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(89)), {C=0.0010227040294538761, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(90)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(94)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(95)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(96)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(97)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(101)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(104)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(107)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(113)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(121)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(124)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(127)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(129)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(130)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(131)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(132)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(133)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(135)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(137)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(143)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(146)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(149)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(152)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(156)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(158)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(159)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(161)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(162)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(163)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(166)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(170)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(173)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(174)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(175)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(181)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(182)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(184)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(186)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(187)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(191)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(192)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(195)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(197)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(200)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(206)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(208)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(216)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(218)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(222)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(223)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(233)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(243)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(246)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(249)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(250)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(251)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(252)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(256)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(260)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(267)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(269)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(271)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(272)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(275)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(276)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(279)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(284)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(286)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(288)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(295)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(296)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(301)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(302)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(304)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(309)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(315)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(317)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(321)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(323)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(324)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(326)), {C=0.0012272448353446513, S=0.0011672016340822876}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(335)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(337)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(338)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(340)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(345)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(348)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(349)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(350)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(354)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(356)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(358)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(362)), {C=0.0010227040294538761, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(364)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(366)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(368)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(369)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(370)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(372)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(374)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(376)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(377)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(378)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(379)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(380)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(382)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(383)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(384)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(385)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(390)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(394)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(399)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(400)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(403)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(404)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(406)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(407)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(408)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(409)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(411)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(412)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(413)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(414)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(416)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(417)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(419)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(420)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(421)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(423)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(425)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(427)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(428)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(431)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(433)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(434)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(436)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(439)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(441)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(442)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(443)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(445)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(446)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(447)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(449)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(452)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(453)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(455)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(456)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(460)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(462)), {C=0.0008181632235631009, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(465)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(466)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(467)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(468)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(470)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(474)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(475)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(476)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(478)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(479)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(480)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(481)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(484)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(485)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(488)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(490)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(493)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(494)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(495)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(497)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(498)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(507)), {C=0.0009204336265084885, S=0.0008754012255617158}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(508)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(511)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(513)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(516)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(518)), {C=0.0005113520147269381, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(519)), {C=0.0006136224176723256, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(520)), {C=0.0007158928206177132, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(S)) --> (buy(524)), {C=0.0006136224176723256, S=0.0005836008170411438}
