(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(6)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(63)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(65)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(68)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(70)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(71)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(73)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(74)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(78)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(81)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(84)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(86)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(89)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(90)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(91)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(92)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(95)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(99)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(100)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(102)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(104)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(106)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(109)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(111)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(112)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(114)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(116)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(118)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(121)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(124)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(126)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(127)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(132)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(133)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(138)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(139)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(141)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(143)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(146)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(147)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(148)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(160)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(162)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(163)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(174)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(180)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(190)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(193)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(195)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(196)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(205)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(206)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(214)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(219)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(222)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(228)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(231)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(232)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(233)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(235)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(238)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(242)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(245)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(248)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(250)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(255)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(256)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(258)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(260)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(265)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(266)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(267)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(271)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(275)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(283)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(292)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(295)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(296)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(297)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(300)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(301)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(304)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(306)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(309)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(311)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(312)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(313)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(315)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(316)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(318)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(327)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(330)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(332)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(333)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(335)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(336)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(337)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(339)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(341)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(342)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(343)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(346)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(348)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(353)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(360)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(365)), {C=0.0010225994477962982, S=0.0009726680284019065}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(366)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(370)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(377)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(383)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(384)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(385)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(386)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(388)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(393)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(394)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(395)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(398)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(400)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(403)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(406)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(408)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(411)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(413)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(423)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(425)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(426)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(427)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(431)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(433)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(437)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(438)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(440)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(442)), {C=0.001124859392575928, S=0.001069934831242097}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(445)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(446)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(448)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(454)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(462)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(463)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(464)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(466)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(469)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(472)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(473)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(477)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(481)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(482)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(483)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(485)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(486)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(489)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(492)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(496)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(497)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(498)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(500)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(502)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(503)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(504)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(510)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(511)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(513)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(514)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(515)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(517)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(518)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(519)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(521)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(522)), {C=0.0009203395030166684, S=0.0008754012255617158}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(525)), {C=0.0007158196134574086, S=0.0006808676198813345}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(527)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(528)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(529)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(533)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(535)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(537)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(540)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(541)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(542)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(549)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(551)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(552)), {C=0.0008180795582370386, S=0.0007781344227215252}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(554)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(555)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(556)), {C=0.0005112997238981491, S=0.00048633401420095323}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(558)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(565)), {C=0.0006135596686777788, S=0.0005836008170411438}
(gender(Male))(country(USA))(education(Partial High School))(marital_status(M)) --> (buy(572)), {C=0.001124859392575928, S=0.001069934831242097}
