(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(2)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(256)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(258)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(261)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(262)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(263)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(273)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(277)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(282)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(290)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(292)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(307)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(309)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(313)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(318)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(320)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(325)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(339)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(344)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(347)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(350)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(352)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(356)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(357)), {C=0.001024485196188915, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(364)), {C=0.0011269337158078066, S=0.001069934831242097}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(368)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(371)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(377)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(378)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(382)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(387)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(391)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(395)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(396)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(397)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(398)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(407)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(409)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(413)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(415)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(417)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(418)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(419)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(420)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(422)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(429)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(432)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(434)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(437)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(441)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(442)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(444)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(445)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(447)), {C=0.001024485196188915, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(450)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(451)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(455)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(458)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(460)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(461)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(463)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(464)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(465)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(468)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(473)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(475)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(476)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(480)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(484)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(487)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(488)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(492)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(493)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(501)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(503)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(504)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(505)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(513)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(515)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(518)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(521)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(529)), {C=0.001434279274664481, S=0.001361735239762669}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(541)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(557)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(558)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(562)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(564)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(565)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(568)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(577)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(579)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(583)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(584)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(585)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(588)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(597)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(599)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(600)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(601)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(604)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(609)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(614)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(616)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(617)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(623)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(625)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(628)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(629)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(630)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(636)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(637)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(638)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(640)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(643)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(646)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(648)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(649)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(652)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(659)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(663)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(666)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(668)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(670)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(671)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(673)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(676)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(678)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(684)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(692)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(695)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(696)), {C=0.0008195881569511321, S=0.0007781344227215252}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(697)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(700)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(706)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(714)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(718)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(721)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(724)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(726)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(735)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(737)), {C=0.0007171396373322405, S=0.0006808676198813345}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(738)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(739)), {C=0.0006146911177133489, S=0.0005836008170411438}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(744)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(750)), {C=0.001024485196188915, S=0.0009726680284019065}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(751)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(754)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(757)), {C=0.0005122425980944575, S=0.00048633401420095323}
(gender(Female))(country(USA))(education(High School Degree))(marital_status(M)) --> (buy(761)), {C=0.0005122425980944575, S=0.00048633401420095323}
